id,KindID,Name,SortOrder,IsActive
842,54,Аккумулятор и время работы,9526,1
843,54,Комплектация,5892,1
844,53,Основные,1534,1
845,53,Общая информация,2218,1
846,53,Технические характеристики,3392,1
847,53,Работа с изображением,6875,1
848,53,Интерфейсы,6404,1
849,53,Габариты и вес,5286,1
850,53,Комплектация,5892,1
851,55,Общая информация,2218,1
852,55,Основные,1534,1
853,55,Функции,5812,1
854,55,Память,6625,1
855,55,Интерфейсы,6404,1
856,55,Горячие клавишы и индикация,6000,1
857,55,Аккумулятор и время работы,9526,1
858,55,Технические характеристики,3392,1
859,55,Размеры и вес,4178,1
860,55,Передача данных,11333,1
861,55,Комплектация,5892,1
862,56,Основные,1534,1
863,56,Общая информация,2218,1
864,56,Фронтальная АС,4333,1
865,56,Интерфейсы,6404,1
866,56,Сабвуфер,5000,1
867,56,Тыловая АС,6000,1
868,56,Центральная АС,7000,1
869,56,Комплектация,5892,1
870,58,Основные,1534,1
871,58,Общая информация,2218,1
872,58,Технические характеристики,3392,1
873,58,Размеры и вес,4178,1
874,57,Общая информация,2218,1
875,57,Основные,1534,1
876,57,Хранение данных,7000,1
877,57,Конструкция,3773,1
878,57,Размеры и вес,4178,1
879,57,Матрица,6000,1
880,57,Объектив,6500,1
881,57,Работа с изображением,6875,1
882,57,Работа со звуком,7750,1
883,57,Интерфейсы,6404,1
884,57,Эксплуатация,7000,1
885,57,Характеристики базовой станции (шлюза),12000,1
886,59,Общая информация,2218,1
887,59,Основные,1534,1
888,59,Акустическая система,12167,1
889,59,Функциональность,7833,1
890,59,Интерфейсы,6404,1
891,59,Габариты,7600,1
892,59,Комплектация,5892,1
893,59,Питание,7607,1
894,62,Основные,1534,1
895,62,Форматы файлов,2500,1
896,62,Экран,5688,1
897,62,Функции,5812,1
898,62,Питание,7607,1
899,62,Интерфейсы,6404,1
900,62,Конструкция,3773,1
901,62,Размеры и вес,4178,1
902,62,Комплектация,5892,1
903,62,Общая информация,2218,1
904,63,Основные,1534,1
905,63,Общая информация,2218,1
906,65,Технические характеристики,3392,1
