id,GroupID,Name,Description,IsActive,SortOrder
657,98,VGA 8 pin,,1,986570
658,98,USB Power,,1,986580
659,97,КПД,,1,976590
660,98,Длина кабеля питания,,1,986600
661,99,Мощность,,1,996610
662,99,Количество отдельных линий +12V,,1,996620
663,99,Макс. ток по линии +12V,,1,996630
664,99,Размер вентилятора блока питания,,1,996640
665,99,Количество вентиляторов,,1,996650
666,99,Подсветка вентилятора,,1,996660
667,100,Длина кабеля питания,,1,1006670
668,100,Питание материнской платы,,1,1006680
669,100,CPU 4 pin,,1,1006690
670,100,CPU 8 pin,,1,1006700
671,100,FDD 4 pin,,1,1006710
672,100,IDE 4 pin,,1,1006720
673,100,SATA,,1,1006730
674,100,VGA 6 pin,,1,1006740
675,100,VGA 8 pin,,1,1006750
676,100,USB Power,,1,1006760
677,99,Назначение,,1,996770
678,99,Стандарт блока питания,,1,996780
679,99,Диапазон входного напряжения сети,,1,996790
680,99,Комбинированная нагрузка по +12V,,1,996800
681,99,Коррекция фактора мощности (PFC),,1,996810
682,99,КПД,,1,996820
683,99,Сертификат 80 PLUS,,1,996830
684,99,Подсветка корпуса,,1,996840
685,100,Модульное подключение кабелей питания,,1,1006850
686,101,Высота,,1,1016860
687,101,Ширина,,1,1016870
688,101,Глубина,,1,1016880
689,101,Вес,,1,1016890
690,104,Тип,,1,1046900
691,104,Количество каналов,,1,1046910
692,104,Интерфейс подключения,,1,1046920
693,105,Частота дискретизации,,1,1056930
694,105,Цифроаналоговое преобразование,,1,1056940
695,105,Соотношение сигнал/шум (SNR),,1,1056950
696,106,Цифровой выход S/PDIF,,1,1066960
697,106,Микрофонный вход,,1,1066970
698,106,Выход на наушники,,1,1066980
699,106,HDMI,,1,1066990
700,105,Коэффициент гармонических искажений (THD+N),,1,1057000
701,105,Динамический диапазон,,1,1057010
702,106,Линейный аудиовход,,1,1067020
703,106,Линейный аудиовыход,,1,1067030
704,106,Цифровой вход S/PDIF,,1,1067040
705,107,Комплект поставки,,1,1077050
706,104,Микросхемы ЦАП,,1,1047060
707,104,Дискретное усиление наушников,,1,1047070
708,104,Поддержка DSD,,1,1047080
709,104,Технологии объемного звука,,1,1047090
710,104,Подсветка,,1,1047100
711,104,Цвет,,1,1047110
712,105,Выходной импеданс,,1,1057120
713,105,Фантомное питание,,1,1057130
714,106,Bluetooth,,1,1067140
715,106,USB,,1,1067150
716,106,MIDI,,1,1067160
717,108,Длина,,1,1087170
718,108,Ширина,,1,1087180
719,108,Высота,,1,1087190
720,108,Высота (толщина),,1,1087200
721,109,Интерфейс подключения,,1,1097210
722,109,Green Ethernet (802.3az),,1,1097220
